timestamp,equity
1767055620000,10000.00
1767055680000,10000.00
1767055740000,10000.00
1767055800000,10000.00
1767055860000,10000.00
1767055920000,10000.00
1767055980000,10000.00
1767056040000,10000.00
1767056100000,10000.00
1767056160000,10000.00
1767056220000,10000.00
1767056280000,10000.00
1767056340000,10000.00
1767056400000,10000.00
1767056460000,10000.00
1767056520000,10000.00
1767056580000,10000.00
1767056640000,10000.00
1767056700000,10000.00
1767056760000,10000.00
1767056820000,10000.00
1767056880000,10000.00
1767056940000,10000.00
1767057000000,10000.00
1767057060000,10000.00
1767057120000,10000.00
1767057180000,10000.00
1767057240000,10000.00
1767057300000,10000.00
1767057360000,10000.00
1767057420000,10000.00
1767057480000,9996.47
1767057540000,10000.35
1767057600000,10001.08
1767057660000,9995.95
1767057720000,9995.20
1767057780000,9996.48
1767057840000,9995.15
1767057900000,9993.90
1767057960000,9995.20
1767058020000,9994.55
1767058080000,9992.48
1767058140000,9989.33
1767058200000,9991.15
1767058260000,9991.16
1767058320000,9992.48
1767058380000,9987.75
1767058440000,9981.11
1767058500000,9981.11
1767058560000,9981.11
1767058620000,9981.11
1767058680000,9981.11
1767058740000,9981.11
1767058800000,9981.11
1767058860000,9981.11
1767058920000,9981.11
1767058980000,9981.11
1767059040000,9981.11
1767059100000,9981.11
1767059160000,9981.11
1767059220000,9976.09
1767059280000,9977.10
1767059340000,9977.11
1767059400000,9978.21
1767059460000,9974.92
1767059520000,9974.26
1767059580000,9978.46
1767059640000,9978.27
1767059700000,9977.25
1767059760000,9974.80
1767059820000,9974.97
1767059880000,9973.81
1767059940000,9975.28
1767060000000,9971.78
1767060060000,9969.61
1767060120000,9968.18
1767060180000,9964.91
1767060240000,9964.19
1767060300000,9963.88
1767060360000,9957.26
1767060420000,9957.26
1767060480000,9957.26
1767060540000,9957.26
1767060600000,9957.26
1767060660000,9957.26
1767060720000,9957.26
1767060780000,9957.26
1767060840000,9957.26
1767060900000,9957.26
1767060960000,9957.26
1767061020000,9957.26
1767061080000,9957.26
1767061140000,9957.26
1767061200000,9957.26
1767061260000,9957.26
1767061320000,9946.23
1767061380000,9948.22
1767061440000,9943.42
1767061500000,9943.60
1767061560000,9946.91
1767061620000,9947.16
1767061680000,9946.47
1767061740000,9942.73
1767061800000,9943.19
1767061860000,9942.73
1767061920000,9938.47
1767061980000,9921.24
1767062040000,9919.53
1767062100000,9912.93
1767062160000,9912.93
1767062220000,9912.93
1767062280000,9912.93
1767062340000,9912.93
1767062400000,9912.93
1767062460000,9912.93
1767062520000,9912.93
1767062580000,9912.93
1767062640000,9912.93
1767062700000,9912.93
1767062760000,9912.93
1767062820000,9912.93
1767062880000,9912.93
1767062940000,9912.93
1767063000000,9912.93
1767063060000,9912.93
1767063120000,9912.93
1767063180000,9912.93
1767063240000,9912.93
1767063300000,9912.93
1767063360000,9912.93
1767063420000,9912.93
1767063480000,9912.93
1767063540000,9912.93
1767063600000,9912.93
1767063660000,9912.93
1767063720000,9904.61
1767063780000,9903.96
1767063840000,9900.03
1767063900000,9898.43
1767063960000,9899.90
1767064020000,9893.31
1767064080000,9893.31
1767064140000,9893.31
1767064200000,9893.31
1767064260000,9893.31
1767064320000,9893.31
1767064380000,9893.31
1767064440000,9893.31
1767064500000,9893.31
1767064560000,9893.31
1767064620000,9893.31
1767064680000,9893.31
1767064740000,9893.31
1767064800000,9893.31
1767064860000,9893.31
1767064920000,9893.31
1767064980000,9893.31
1767065040000,9893.31
1767065100000,9893.31
1767065160000,9887.21
1767065220000,9883.94
1767065280000,9885.65
1767065340000,9886.27
1767065400000,9887.25
1767065460000,9884.92
1767065520000,9880.81
1767065580000,9882.65
1767065640000,9884.52
1767065700000,9883.71
1767065760000,9884.33
1767065820000,9883.01
1767065880000,9881.65
1767065940000,9882.61
1767066000000,9881.65
1767066060000,9881.66
1767066120000,9880.74
1767066180000,9882.11
1767066240000,9884.46
1767066300000,9886.83
1767066360000,9890.45
1767066420000,9893.32
1767066480000,9894.76
1767066540000,9894.86
1767066600000,9894.95
1767066660000,9893.41
1767066720000,9895.45
1767066780000,9898.36
1767066840000,9897.20
1767066900000,9899.25
1767066960000,9899.56
1767067020000,9898.50
1767067080000,9895.82
1767067140000,9896.75
1767067200000,9897.42
1767067260000,9898.56
1767067320000,9899.25
1767067380000,9898.96
1767067440000,9900.10
1767067500000,9897.44
1767067560000,9898.02
1767067620000,9895.74
1767067680000,9893.46
1767067740000,9893.92
1767067800000,9893.74
1767067860000,9893.64
1767067920000,9888.93
1767067980000,9892.80
1767068040000,9886.22
1767068100000,9886.22
1767068160000,9886.22
1767068220000,9886.22
1767068280000,9886.22
1767068340000,9886.22
1767068400000,9886.22
1767068460000,9886.22
1767068520000,9886.22
1767068580000,9886.22
1767068640000,9886.22
1767068700000,9881.53
1767068760000,9882.06
1767068820000,9884.70
1767068880000,9884.29
1767068940000,9882.21
1767069000000,9883.32
1767069060000,9880.92
1767069120000,9877.16
1767069180000,9877.11
1767069240000,9877.67
1767069300000,9877.66
1767069360000,9878.50
1767069420000,9878.75
1767069480000,9878.75
1767069540000,9876.68
1767069600000,9878.07
1767069660000,9880.10
1767069720000,9879.60
1767069780000,9880.33
1767069840000,9880.69
1767069900000,9880.69
1767069960000,9881.53
1767070020000,9878.07
1767070080000,9872.40
1767070140000,9865.84
1767070200000,9865.84
1767070260000,9865.84
1767070320000,9865.84
1767070380000,9865.84
1767070440000,9865.84
1767070500000,9865.84
1767070560000,9865.84
1767070620000,9865.84
1767070680000,9865.84
1767070740000,9865.84
1767070800000,9865.84
1767070860000,9865.84
1767070920000,9865.84
1767070980000,9865.84
1767071040000,9865.84
1767071100000,9865.84
1767071160000,9865.84
1767071220000,9865.84
1767071280000,9865.84
1767071340000,9865.84
1767071400000,9865.84
1767071460000,9865.84
1767071520000,9865.84
1767071580000,9865.84
1767071640000,9865.84
1767071700000,9865.84
1767071760000,9865.84
1767071820000,9865.84
1767071880000,9855.81
1767071940000,9854.60
